gene_name,logfc,pvalue
ENSG00000256223,1.952221072,4.60E-08
ENSG00000121594,1.653022421,4.31E-07
ENSG00000100450,-2.242804844,5.64E-06
ENSG00000028137,-0.986061536,8.61E-06
ENSG00000101574,1.071964315,1.02E-05
ENSG00000132356,0.913383925,1.42E-05
ENSG00000121879,0.917446195,2.18E-05
ENSG00000011405,1.255429657,3.71E-05
ENSG00000269028,3.027786105,3.52E-05
ENSG00000118985,1.723387374,4.36E-05
ENSG00000102096,0.524644134,6.51E-05
ENSG00000177694,2.061623055,6.96E-05
ENSG00000145375,1.087919644,9.96E-05
ENSG00000197714,0.795733992,9.51E-05
ENSG00000079482,-0.05335271,0.000114068
ENSG00000178163,1.045715831,0.000127377
ENSG00000211829,-1.92935433,0.000153379
ENSG00000129055,-0.691333456,0.000166708
ENSG00000043355,-0.084389657,0.00022229
ENSG00000076604,1.174082872,0.000228715
ENSG00000110888,0.841488458,0.000218513
ENSG00000112425,1.102628964,0.000208444
ENSG00000157890,1.703613302,0.000194963
ENSG00000062524,-1.599496227,0.000245055
ENSG00000074803,3.379143795,0.000273714
ENSG00000163596,0.729116172,0.000278691
ENSG00000178965,1.968031005,0.000265311
ENSG00000181690,1.518109481,0.000281169
ENSG00000137038,-0.956770271,0.000313606
ENSG00000197329,0.819676187,0.000306231
ENSG00000145362,0.02092874,0.000355194
ENSG00000184588,0.935956096,0.000359149
ENSG00000069956,1.130354165,0.000428422
ENSG00000100453,-1.185186621,0.000414025
ENSG00000175164,2.354377383,0.000424613
ENSG00000240303,0.798069295,0.0004327
ENSG00000113532,0.692504031,0.000467492
ENSG00000135473,0.772127615,0.000472752
ENSG00000024862,-0.689282952,0.000554254
ENSG00000063245,0.97447952,0.000663725
ENSG00000082269,1.251832557,0.000543443
ENSG00000100473,0.641360128,0.000596719
ENSG00000105374,-1.164335465,0.000656712
ENSG00000106701,1.239432916,0.00059478
ENSG00000116147,1.649467658,0.000642231
ENSG00000131899,1.278803756,0.000608343
ENSG00000142856,0.817061719,0.000609741
ENSG00000166450,-1.598736588,0.000605523
ENSG00000180644,-1.053785556,0.000644129
ENSG00000100292,-0.923615767,0.000702734
ENSG00000117724,2.159547638,0.000710663
ENSG00000179094,0.814612083,0.000685231
ENSG00000112149,0.841194789,0.000763332
ENSG00000121410,-1.097324511,0.000736578
ENSG00000158711,0.753802398,0.000771488
ENSG00000172586,-0.821851201,0.000754439
ENSG00000050438,1.155101394,0.000825729
ENSG00000107854,0.501158375,0.000838177
ENSG00000151694,0.441721242,0.000832147
ENSG00000170266,-0.539711861,0.000856577
ENSG00000198521,0.740909396,0.00084739
ENSG00000133193,-0.560218914,0.000883241
ENSG00000214706,0.414122977,0.000939535
ENSG00000258366,1.250908695,0.00095503
ENSG00000144468,0.852242079,0.00098498
ENSG00000159445,0.675096222,0.000982345
ENSG00000030582,-0.4774784,0.001122646
ENSG00000137075,0.801976595,0.001097704
ENSG00000153944,0.530151877,0.001120464
ENSG00000056586,0.744309318,0.001164884
ENSG00000139973,2.701736514,0.001176957
ENSG00000185651,-0.432084117,0.001197866
ENSG00000124882,-0.065012771,0.001228375
ENSG00000095380,-0.708075755,0.001267847
ENSG00000148334,0.734604972,0.00128259
ENSG00000153015,-0.612347939,0.001289832
ENSG00000011451,-0.793660095,0.001648856
ENSG00000033327,0.115991268,0.001699885
ENSG00000050030,1.402447954,0.00174607
ENSG00000054219,0.608314396,0.001430268
ENSG00000081059,0.597906397,0.001763042
ENSG00000112139,-0.073847291,0.001371163
ENSG00000112773,-0.727760726,0.001676259
ENSG00000115568,0.683227068,0.001453476
ENSG00000115808,1.203420512,0.001532544
ENSG00000116209,-0.481240484,0.001903269
ENSG00000118508,-0.066528597,0.001936345
ENSG00000133574,-0.761829303,0.001943962
ENSG00000134717,-0.444251934,0.001754674
ENSG00000136244,0.941063323,0.001817861
ENSG00000145041,0.522105667,0.001594288
ENSG00000148180,-0.691070626,0.001436415
ENSG00000153140,-0.875288072,0.001939938
ENSG00000153253,0.094078332,0.001937404
ENSG00000156671,0.608110362,0.001782238
ENSG00000158473,-0.693157157,0.001515254
ENSG00000163319,-0.841701648,0.001440783
ENSG00000164440,1.424362136,0.001401849
ENSG00000165672,-0.565488624,0.001710506
ENSG00000165810,1.196672994,0.001843818
ENSG00000173517,0.698303478,0.001703408
ENSG00000175054,0.716739418,0.001661388
ENSG00000177189,0.673255415,0.001596308
ENSG00000178896,-0.964547592,0.001768086
ENSG00000179115,-0.502169341,0.001705118
ENSG00000179918,-0.796409084,0.001927665
ENSG00000181722,0.472635244,0.001595003
ENSG00000182173,-0.638452885,0.001942432
ENSG00000184730,-1.107037747,0.001740498
ENSG00000196632,1.552217726,0.001978569
ENSG00000206172,0.014358263,0.001947741
ENSG00000213523,-0.520822673,0.001965377
ENSG00000272602,1.039236901,0.001773666
ENSG00000116138,0.641642654,0.002031667
ENSG00000151612,0.756035534,0.002033932
ENSG00000100523,0.424037674,0.002067849
ENSG00000100099,0.494255835,0.002094615
ENSG00000104361,0.682026537,0.002128229
ENSG00000100644,0.564589932,0.0021832
ENSG00000088986,-0.567122226,0.002263074
ENSG00000130038,0.697574651,0.002237272
ENSG00000136874,0.548062207,0.002277124
ENSG00000206527,0.126136848,0.002252284
ENSG00000168066,0.517078265,0.002348563
ENSG00000223547,0.817619021,0.002340257
ENSG00000077984,-0.886453469,0.002452837
ENSG00000112303,-0.510872991,0.002417272
ENSG00000153786,-0.783614834,0.002437676
ENSG00000132434,0.09957215,0.002491499
ENSG00000123636,0.433387391,0.002532601
ENSG00000137441,-0.997877896,0.002514194
ENSG00000130338,0.490515871,0.002605857
ENSG00000164292,0.047622561,0.002576301
ENSG00000197016,0.750486546,0.002588659
ENSG00000070018,-0.039243499,0.002626685
ENSG00000130303,-0.503395126,0.002726533
ENSG00000178988,-0.481707984,0.002711231
ENSG00000188042,-0.437836809,0.002751618
ENSG00000143554,-0.948477312,0.00278879
ENSG00000237440,0.795310183,0.002852359
ENSG00000160654,-0.755967906,0.002915964
ENSG00000073910,0.725004934,0.002992468
ENSG00000125107,0.423377095,0.003037896
ENSG00000145780,0.702109427,0.003081709
ENSG00000163563,-0.670522635,0.003070276
ENSG00000110429,0.629162054,0.003142892
ENSG00000135632,0.749823349,0.003142857
ENSG00000073417,0.135035936,0.003207814
ENSG00000100150,0.579221402,0.003326237
ENSG00000107036,0.66256222,0.00326594
ENSG00000140030,-0.439323688,0.003298191
ENSG00000166167,0.68747619,0.003228622
ENSG00000196655,-0.528753531,0.003328144
ENSG00000244734,0.010975376,0.003317235
ENSG00000131446,-0.468115901,0.003374527
ENSG00000003509,-0.584109024,0.003999884
ENSG00000070915,1.589060636,0.003427828
ENSG00000100092,0.054894003,0.003903738
ENSG00000101084,-0.629850925,0.003887657
ENSG00000104870,-0.653885819,0.003868673
ENSG00000108828,0.467744132,0.003952134
ENSG00000109861,-0.485465695,0.003639628
ENSG00000115970,0.481661928,0.00374945
ENSG00000116194,0.676325541,0.003871294
ENSG00000123329,-0.378890809,0.004060111
ENSG00000139620,0.454149564,0.003625833
ENSG00000141564,0.484569159,0.004052183
ENSG00000147124,0.792783625,0.003637773
ENSG00000147642,0.090178339,0.00370734
ENSG00000158985,0.411030725,0.004018863
ENSG00000159899,1.429703941,0.003623998
ENSG00000163166,-0.56605289,0.003947238
ENSG00000163257,0.567099723,0.004073882
ENSG00000164691,0.36115828,0.003624132
ENSG00000166046,0.47612983,0.003982242
ENSG00000166479,0.545684684,0.00378359
ENSG00000169385,-0.063510233,0.004068304
ENSG00000173281,0.834214511,0.003569089
ENSG00000176884,-0.05366482,0.003722648
ENSG00000181019,0.054686348,0.00394158
ENSG00000183092,-0.105832023,0.004028294
ENSG00000184009,-0.366636265,0.003725727
ENSG00000185905,-0.558365453,0.003514167
ENSG00000187554,-0.077663519,0.003741094
ENSG00000187824,-0.808378352,0.003729449
ENSG00000214655,-0.528795715,0.003852476
ENSG00000101544,0.701125982,0.004116255
ENSG00000129595,0.076373287,0.004124337
ENSG00000136937,-0.720369214,0.004157732
ENSG00000163874,0.45131067,0.00427072
ENSG00000177156,-0.394505311,0.004270181
ENSG00000085563,-1.106628115,0.004440407
ENSG00000158615,0.461478793,0.004458305
ENSG00000172543,-0.666997237,0.004452162
ENSG00000065308,0.497834996,0.00451563
ENSG00000092140,0.557007969,0.004607184
ENSG00000129204,0.063185133,0.004625289
ENSG00000075568,0.528586863,0.004654277
ENSG00000186260,0.139959334,0.004721887
ENSG00000102245,-0.104639158,0.005004238
ENSG00000105329,0.048667777,0.004959751
ENSG00000108506,0.086566914,0.004993489
ENSG00000109118,0.457416837,0.004925724
ENSG00000115523,-0.106931615,0.005008348
ENSG00000119707,0.322679575,0.00496712
ENSG00000163191,-0.606415356,0.004899392
ENSG00000172869,0.488773494,0.004888525
ENSG00000173801,-0.612347303,0.004935148
ENSG00000183011,-0.580110657,0.004798571
ENSG00000188729,-0.037367788,0.004798891
ENSG00000198625,0.476120862,0.005007031
ENSG00000118263,0.416986212,0.005118099
ENSG00000115919,0.420504187,0.005146052
ENSG00000124942,0.441261184,0.005262704
ENSG00000064703,0.575561019,0.005291268
ENSG00000010244,0.341489462,0.005928969
ENSG00000035664,0.069678288,0.005696897
ENSG00000039523,0.343496468,0.005676527
ENSG00000064652,-0.079042609,0.005866123
ENSG00000072121,0.143185598,0.005907576
ENSG00000078043,0.100501151,0.005935396
ENSG00000105373,0.527931839,0.005680089
ENSG00000112200,0.427803171,0.005947431
ENSG00000117281,-0.099727305,0.005504343
ENSG00000125810,-0.122464121,0.005819594
ENSG00000132436,0.160566399,0.005947626
ENSG00000136021,0.164955265,0.005796014
ENSG00000143546,-0.897673615,0.005623225
ENSG00000164136,0.135138499,0.005970818
ENSG00000164398,0.053445758,0.005575882
ENSG00000168152,0.072861171,0.00570045
ENSG00000168612,0.443408638,0.005630826
ENSG00000170037,0.169637435,0.0058529
ENSG00000171649,-0.194086174,0.00554566
ENSG00000185305,0.110220973,0.005607713
ENSG00000198763,0.363781942,0.00560181
ENSG00000261611,0.030276496,0.00555057
ENSG00000267534,-0.09814833,0.005824638
ENSG00000278540,0.120656055,0.005666581
ENSG00000001084,0.454126198,0.006026704
ENSG00000082438,0.484475506,0.006162153
ENSG00000187608,-0.578822894,0.006167126
ENSG00000085832,0.429922652,0.006242589
ENSG00000138623,0.051831402,0.006268368
ENSG00000169914,0.065491069,0.006402493
ENSG00000164938,0.441251543,0.006476101
ENSG00000175376,0.430308881,0.006504778
ENSG00000135476,0.039029098,0.006567121
ENSG00000086730,-0.326666092,0.006646946
ENSG00000010295,-0.506320907,0.00672452
ENSG00000133619,0.080148916,0.006740572
ENSG00000101935,0.102622619,0.006800762
ENSG00000144724,0.069591623,0.006898972
ENSG00000188994,0.354144882,0.006966235
ENSG00000103257,0.065233136,0.007029527
ENSG00000103168,0.123828409,0.007220942
ENSG00000135541,0.49797613,0.007172664
ENSG00000153531,-0.058493967,0.007172173
ENSG00000163527,-0.462087523,0.007211107
ENSG00000204642,-0.397445371,0.007263699
ENSG00000122966,0.023269582,0.007300303
ENSG00000165609,-0.365906519,0.007337252
ENSG00000163866,-0.358025244,0.007449943
ENSG00000198231,-0.453012273,0.007532495
ENSG00000142875,0.393372601,0.007597203
ENSG00000112282,0.357960803,0.007715186
ENSG00000131634,-0.078413795,0.007735743
ENSG00000157823,0.378584958,0.007787427
ENSG00000171617,0.046909792,0.007792468
ENSG00000227191,-0.089897875,0.007835691
ENSG00000180739,-0.070356542,0.007875247
ENSG00000274180,0.091668914,0.007957985
ENSG00000157657,0.063854622,0.008016791
ENSG00000166595,-0.482001184,0.00807103
ENSG00000149557,-0.070499422,0.008107982
ENSG00000131584,0.083982478,0.008148566
ENSG00000025708,-0.488023247,0.008226479
ENSG00000041880,0.361478389,0.008621461
ENSG00000069020,0.115240473,0.008577476
ENSG00000122435,-0.40050985,0.008348673
ENSG00000125753,-0.513278736,0.008623838
ENSG00000136280,-0.303263518,0.008542746
ENSG00000138640,0.08196765,0.008630894
ENSG00000143079,0.05444867,0.00848021
ENSG00000164300,0.123107863,0.008554313
